merge	file	category	conflicted	deleted_in_merge	lost_lines	missing_at_tip	clean_region_missing	kinds	sample_missing
3cbb10e	android/app/src/main/java/com/tappyai/app/home/HomeTabHost.kt	other	y	n	1	0	0	side1	
3cbb10e	android/app/src/main/java/com/tappyai/app/home/SmartTools.kt	other	y	n	1	0	0	side1	
3cbb10e	android/app/src/test/java/com/tappyai/app/home/SmartToolsTest.kt	other	y	n	12	0	0	side1	
3cbb10e	docs/audit/lang-detect-results.json	other	y	n	1	1	0	side2	"generatedAt": "2026-09-18T03:50:12.084Z",
3cbb10e	docs/audit/p15-truncation-repro.json	other	y	n	1	1	0	side2	"generatedAt": "2026-09-18T03:50:08.904Z",
3cbb10e	docs/audit/prompt-shape.json	other	y	n	2	2	0	side2	"generatedAt": "2026-09-18T03:50:15.728Z", ‖ "THOI GIAN HIEN TAI (rat quan trong): Bay gio la lúc 10:50 Thứ Sáu, 18 tháng 9, 2026, gio 
3cbb10e	docs/audit/route-signals.json	other	y	n	1	1	0	side2	"generatedAt": "2026-09-18T03:49:30.584Z",
3cbb10e	ios/TappyAI/Core/Config/FeatureFlags.swift	other	n	y	17	15	15	side1	/// Product feature flags — hardcoded product decisions, NOT runtime/env configuration. ‖ /// This mirrors the web `src/lib/config/product.ts` `SHOW_*` flags. A value here is a
3cbb10e	ios/TappyAI/Features/Reviews/UI/CreateReviewView.swift	other	n	n	2	2	2	side1	// Music hidden by default (FeatureFlags.showMusic, owner decision 2026-09-24). ‖ if FeatureFlags.showMusic {
3cbb10e	ios/TappyAI/Features/Reviews/UI/ReviewActionRail.swift	other	y	n	3	3	0	side1	// Music hidden by default (FeatureFlags.showMusic, owner decision 2026-09-24): the ‖ // feed music disc opens the retired "use this sound" SoundPage, so it stays gated off.
3cbb10e	src/app/HomeV3.tsx	other	y	n	5	5	0	side1	titled "Gợi ý dành cho bạn" with a "see all" that opened `/recommendations` — the ‖ personalised PLACES page, a different feature with its own engine — so one name
3cbb10e	src/app/HomeView.tsx	other	y	n	8	7	0	side2,base	{/* Music is gated off on every platform while its licensing is open (`SHOW_MUSIC`). */} ‖ {SHOW_MUSIC && (
3cbb10e	src/app/api/chat/preModelParallel.test.ts	other	y	n	7	7	0	side1	// `!quotaExempt` (a $0 canned turn is not charged — owner decision 2026-09-18) sits betwe ‖ // the Pro check and the spend; the ordering this guard pins is unchanged. The spend is no
3cbb10e	src/app/api/chat/route.ts	other	y	n	15	13	1	base,side2,side1	if (!isPro && !quotaExempt) { ‖ // 🚨 R-4/R-3: SET AFTER THE SPEND, NOT BEFORE. `quotaMetered` exists to stop the IP-keyed
3cbb10e	src/app/api/profile/coverAndBio.test.ts	other	y	n	1	1	0	side1	const JPEG = new Uint8Array([0xff, 0xd8, 0xff, 0xe0, 0x00, 0x10])
3cbb10e	src/app/api/profile/route.ts	other	y	n	1	1	0	side1	return NextResponse.json({ error: 'image_too_large', message: serverMessage('media.imageTo
3cbb10e	src/app/api/track/route.ts	other	y	n	46	0	0	side1	
3cbb10e	src/app/group/[id]/page.tsx	other	y	n	56	46	43	side1	import { useEffect, useState, useCallback, useRef } from 'react' ‖ import { Copy, Check, Users, Loader2, Camera } from 'lucide-react'
3cbb10e	src/app/homeAiFirst.test.tsx	other	y	n	4	4	0	side2	// 🚨 `/music` IS NOT ON THIS LIST, AND THAT IS DELIBERATE. Music is hidden on every platf ‖ // while its catalogue licensing is open (`SHOW_MUSIC`), so it is unreachable ON PURPOSE —
3cbb10e	src/app/music/page.tsx	other	y	n	7	7	0	side2,base	import { notFound, useRouter } from 'next/navigation' ‖ import { ChevronLeft, ChevronRight, Flame, Headphones, Mic2, Music, Music2, Sparkles, Uplo
3cbb10e	src/app/music/upload/page.tsx	other	y	n	22	14	0	base,side2	import { notFound, useRouter } from 'next/navigation' ‖ import { Loader2, Music, UploadCloud, CheckCircle2 } from 'lucide-react'
3cbb10e	src/app/reviews/ExploreStage.tsx	other	y	n	1	1	0	side2	// Music is gated off everywhere while its licensing is open (`SHOW_MUSIC`).
3cbb10e	src/app/reviews/ProfileTab.tsx	other	y	n	5	4	0	base,side2	import SoundSheet from './SoundSheet' ‖ {/* Gated off with `SHOW_MUSIC` — nothing can set `soundTrackId` while Music is hidden,
3cbb10e	src/app/reviews/[id]/ReviewDetailView.tsx	other	y	n	3	3	0	side2	{/* Attached music — gated off with `SHOW_MUSIC`. The card carries the track's title, ‖ artist and a link to its sound page, so it is an entry point, not decoration. */}
3cbb10e	src/app/reviews/exploreStage.test.tsx	other	y	n	4	4	0	side2	// Music is hidden on every platform while its catalogue licensing is open (`SHOW_MUSIC`), ‖ // the fourth tab is absent by design — `musicHidden.test.tsx` fails if it comes back. Res
3cbb10e	src/app/reviews/feedShared.tsx	other	y	n	9	9	0	base,side2	import ReviewMusicDisc from './ReviewMusicDisc' ‖ {/* The clip's sound — tap to open its sound page ("use this sound").
3cbb10e	src/app/reviews/new/page.tsx	other	y	n	6	6	0	side2,base	// The picker cannot open while `SHOW_MUSIC` is false, so `music` is always null there; th ‖ // guard is here as well so a stale draft can never post a track the UI no longer offers.
3cbb10e	src/app/reviews/page.tsx	other	y	n	5	4	0	base,side2	import SoundSheet from './SoundSheet' ‖ {/* Gated off with `SHOW_MUSIC` — nothing can set `soundTrackId` while Music is hidden,
3cbb10e	src/app/sound/[trackId]/page.tsx	other	y	n	52	35	0	base,side2	import { notFound, useParams, useRouter } from 'next/navigation' ‖ import { ChevronLeft, Play, Pause, Loader2, Music2, Heart, Bell, Plus, TrendingUp, Flag, X
3cbb10e	src/app/users/[id]/PublicProfileView.tsx	other	y	n	1	1	0	side2	// Music is gated off everywhere while its licensing is open (`SHOW_MUSIC`).
3cbb10e	src/components/v3/V3Shell.tsx	other	y	n	15	15	12	side2	Bell, Sun, Moon, UserCircle, UserRound, Wallet, Settings, HelpCircle, ‖ // Phase 7 RC (§3/§9): MY ACCOUNT is exactly these three rows, in this order — both
3cbb10e	src/lib/qr/brandedCard.ts	other	y	n	3	3	0	side1	CARD.pad + CARD.markSize + CARD.gapLockupToQr + qrSide + ‖ CARD.gapNameToCaption + CARD.captionPx + CARD.pad
3cbb10e	src/lib/tools/registry.ts	other	y	n	2	2	0	side2	// Music is gated off on every platform while its licensing is open (`SHOW_MUSIC`). The ro ‖ // stays in ALL so the tile, its copy and its skin come back with one boolean.
d917c44	android/app/src/main/java/com/tappyai/app/chat/MessageActionBar.kt	other	y	n	12	9	1	side2,base,side1	shareArtifact?.let { a -> TappyShareSheet(artifact = a, onDismiss = { shareArtifact = null ‖ * G1 share-out. Returns true when it took the tap (a persisted turn → public result previe
d917c44	docs/audit/lang-detect-results.json	other	n	n	1	1	1	side1	"generatedAt": "2026-09-18T03:08:34.384Z",
d917c44	docs/audit/p15-truncation-repro.json	other	n	n	1	1	1	side1	"generatedAt": "2026-09-18T03:08:16.874Z",
d917c44	docs/audit/prompt-shape.json	other	n	n	2	2	2	side1	"generatedAt": "2026-09-18T03:08:24.218Z", ‖ "THOI GIAN HIEN TAI (rat quan trong): Bay gio la lúc 10:08 Thứ Sáu, 18 tháng 9, 2026, gio 
d917c44	docs/audit/route-signals.json	other	n	n	1	1	1	side1	"generatedAt": "2026-09-18T03:08:20.038Z",
d917c44	src/app/api/chat/route.ts	other	y	n	25	23	0	side2,base	// AFTER the identity/quota resolution above so `authedUserId` is known, and ‖ // BEFORE any model or tool work so a refused request costs nothing.
d917c44	src/components/chat/MessageActionBar.tsx	other	y	n	10	6	2	side2,base,side1	// G1 share-out: a PERSISTED turn can become a public result; the preview ‖ // dialog is the explicit step. An unsaved turn keeps the plain-text share.
d917c44	src/components/share/ShareMenu.tsx	other	y	n	12	11	2	side1,side2,base	import { Copy, Check, Share2, X, Mail, Inbox, Download } from 'lucide-react' ‖ /** Optional one-line text for the OS share sheet (SMS/email/apps that ignore OG). */
d917c44	src/components/share/SharePreviewDialog.tsx	other	n	n	4	4	4	side2	<div className="fixed inset-0 z-[100] flex items-end sm:items-center justify-center bg-bla ‖ <h2 className="flex items-center gap-2 text-base font-semibold text-gray-900 dark:text-gra
d917c44	src/lib/analytics/g1Events.ts	other	n	n	1	1	1	side2	const COMMERCE_HOST_RE = /(^|\.)(shopee\.vn|shopeefood\.vn|lazada\.vn|tiki\.vn|sendo\.vn|g
d917c44	src/lib/config/product.ts	other	n	n	3	3	3	side2	// anonymous AI quota above (`ANON_DAILY_LIMIT`) stays THE hard cap for a ‖ * (dismissable, non-blocking). The HARD stop remains `ANON_DAILY_LIMIT`. Kept
d917c44	src/lib/i18n/share.ts	other	y	n	4	4	0	side2	'share.previewTitle': 'Người khác sẽ thấy gì', ‖ 'share.previewHint': 'Đây là bản công khai đã ẩn thông tin cá nhân. Chỉ khi bạn xác nhận, 
