ref	worktree	date	ahead_v3	behind_v3	ahead_main	behind_main	WEB_f8dca88	APC_60df033	CCPc_66efcd7	AFF_764effd	REV_2ee2baf	BOOK_f8dca88	CCP_e2c37c9	G1_c07e98b	G2_f25f542	G3_7796ac5	M_89e65f7	M_2e3ec8a	M_968472e	MAIN_842379b	subject
arcade-v2/android	-	2026-08-02 19:22	114	625	114	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(arcade-v2): Android inline SuperTux runtime
arcade-v2/web	-	2026-08-02 19:20	8	452	8	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(arcade-v2): SuperTux single-threaded runtime integration
audit/anon-eligibility	-	2026-08-31 17:34	0	99	0	37	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(controller): C-14 — two-step broadcast confirmation UI (#223)
audit/c14-discovery	-	2026-08-31 17:01	0	100	0	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(notifications): delete the legacy broadcast route (contract 14.2 step 8) (#
audit/db-access-docs	-	2026-09-01 10:03	0	97	0	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(notifications): refuse anonymous sessions at POST /subscribe (#225)
audit/final	-	2026-08-22 18:35	0	163	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): BL-002 accepted — G1 is closed on production (#156)
audit/k3-baseline	-	2026-08-23 10:14	0	160	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): K-1 shipped and verified on production 0ae343b (#159)
audit/marketing-discovery	-	2026-09-01 11:18	0	94	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(v2.2): anonymous eligibility is MEASURED ZERO — V2.2-1 closed (#228)
audit/v22-readonly	-	2026-08-23 17:18	0	153	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): close V2 and record Home UAT (#166)
backup/ios-windows-sprint-pre-rebase	-	2026-08-06 14:45	145	625	145	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(ios): close the Windows sprint with a completion report and Mac checklist
backup/pre-scrub-v1	-	2026-08-04 13:03	121	625	121	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(android): finalize Android V1 release assets
bl002/audit	-	2026-08-22 17:07	0	164	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): K-2 migration applied to production, and the runbook (#155)
blob-cleanup	-	2026-08-13 14:14	3	306	3	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(deps): declare jose explicitly — it was only reaching us through @vercel/b
chore/android-target-sdk-36	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-langfix-vi	2026-08-19 10:58	1	228	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(android): target API 36 for the Play policy deadline
chore/controller-v2-phase6-legacy-removal	-	2026-08-19 12:57	2	224	2	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into chore/controller-v2-phase6-legac
chore/landing-remove-copyright	-	2026-07-25 15:15	0	565	0	503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(login): use the approved Tappy mascot (wave) as the header brand mark
chore/publication-boundary-migrations-in-git	-	2026-08-18 15:03	2	230	2	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(safety): write the EXECUTE grant the way ADR-019 requires
chore/remove-temp-diag	C:/wta5	2026-08-28 12:30	2	115	2	53	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(test): the absence guard was matching its own text
ci/regression-gate	-	2026-08-10 14:35	0	347	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ci(controller): add regression and static quality gates
ci/supertux-wasm	-	2026-08-02 19:20	8	452	8	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(arcade-v2): SuperTux single-threaded runtime integration
claude/admiring-euler-fd4c48	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/cool-vaughan-b3c7ff	2026-09-15 11:19	5	2	78	13	1	0	0	0	1	1	0	0	0	0	0	0	0	0	feat(ai): consultative decision core — goal-aware evidence, shortlist threshol
claude/cool-vaughan-b3c7ff	-	2026-07-18 13:13	0	628	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge feat/backoffice-phase0 into main
claude/determined-knuth-609039	-	2026-09-11 16:58	13	75	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	Merge pull request #251 from huyphamsm-tappy/feat/v3-user-data-foundation
claude/ecstatic-mclaren-c5aa0e	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/adoring-stonebraker-13f20e	2026-08-12 10:12	1	345	1	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android): prevent Deals duplicate lazy keys
